direct_object,unique_verbs
50,['pick up']
ANITHING,['MOVING']
ANOTHER SIDE,['PACK' 'PUT']
ANOTHER SIDE OF TABLE,['PICK UP' 'PUT' 'MOVE']
THE ANOTHER SIDE OF TABLE,['PICK UP' 'PUT ON' 'PICK' 'PUT']
THE ANOTHER SIDE OF THE BOWLS,['PICK UP' 'PUT ON']
ANOTHER SIDE OF THE TABLE,['PICK UP' 'PUT' 'PICK' 'UP' 'KEEP' 'MOVE' 'PUT ON']
THE ANOTHER SIDE OF THE TABLE,['PICK UP' 'PUT ON' 'PICK' 'PUT' 'UP' 'ON']
ANOTHER SIDE OF THE TOWEL,['PICK UP' 'PUT']
THE ANOTHER SIDE OFTABLE,['PICK' 'UP' 'PUT' 'ON']
ANOTHING,['MOVING']
ANY,['NOT']
ANYTHING,['MOVING']
THE APPLE PEACE,['PICK' 'PUT']
Allen,['pick up']
Allen key set,['pick up']
THE BANANA,['PICK UP' 'PUT ON' 'PUT' 'PICK']
THE BLEANDER,['PICK UP' 'PUT ON']
THE BLENDER,['PICK' 'UP' 'PUT' 'PICK UP' 'PUT ON' 'MOVE' 'PLACE']
BLENDER,['MOVE']
BLUE,['PLACETHE' 'TOWARDS']
THE BLUE CLOTH,['PLACE']
BLUE TOWEL,['PICK UP' 'PUT ON']
THE BLUE TOWEL,['PICK UP' 'PUT' 'PUT NEAR' 'PUT ON' 'PICK' 'pick up' 'put on']
THE BLUE TOY,['PLACE']
BLUEBERRIES,['PLACE']
THE BOTTLE,['PICK' 'PUT' 'PACK']
THE BOWL,['PACK' 'PUT' 'PICK' 'PICK UP' 'PUT INTO']
THE BOWLS,['PICK UP' 'PUT ON']
THE BOWLSAND,['PICK UP' 'PUT ON']
THE BOX,['PICK UP' 'PUT' 'PUT ON' 'PICK']
BOX,['MOVE' 'PICK UP' 'PUT']
THE BRESH,['PICK' 'PUT' 'PICK UP']
THE BREZZELA,['PACK' 'PUT']
BROCOLLI,['PLACE']
THE BRUSH,['PICK UP' 'PUT' 'PLACE' 'PICK' 'KEEP' 'PUT ON']
Brinjal,['Move']
THE CAKE,['PICK UP' 'PUT']
THE CAPSICUM,['PICK UP' 'PUT ON' 'PLACE']
CAPSICUM,['PLACE' 'PICK UP' 'PLACE INTO']
THE CAULIFLOWER,['PICK UP' 'PUT']
CHERRY,['PICK UP' 'PUT']
CLOTH,['PLACETHE' 'TOWARDS']
CORN,['PLACE']
Carrot,['Pick up' 'place']
Cheese,['Move']
THE EGGPLANT,['PICK UP' 'PUT']
ENYTHING,['MOVEING']
THE FILTER,['PICK UP' 'PUT ON']
THE FISH,['PICK UP' 'PUT']
THE FORK,['PICK UP' 'PUT INTO' 'PUT ON' 'PUT' 'PICK' 'PUT NEAR']
THE FRUIT,['PICK UP' 'PUT ON' 'PUT' 'PICK']
Fork,['Move']
GAS STOVE,['PLACE']
THE GLASS,['PICK UP' 'PUT ON']
THE GRAPES,['PICK UP' 'PUT']
THE GREEN CLOTH,['PLACE']
THE GREEN TOWEL,"['PICK UP' 'PUT' 'PICK' 'UP' 'PUT ON' 'TAKEN' 'PUT NEAR' 'PLACE' 'KEEP'
 'MOVE']"
the Gray pot,['Picked up' 'moved']
Green Capsicum,['Place']
THE HOT DOG,['PLACE']
IT,['PICK' 'PUT' 'PICK UP' 'PLACE']
KERCHIEF,['MOVE']
THE KINIFE,['PICK UP' 'PUT ON']
THE KNIFE,['PLACE' 'PICK' 'UP' 'PICK UP' 'PUT']
KNIFE,['PLACE']
THE LADLE,['PLACE']
THE LEFT SIDE CORNER,['PLACE']
THE LEG PIECE,['PICK UP' 'PUT' 'PUT ON']
LITE GREEN TOWEL,['PICK UP' 'KEEP']
THE MASHROOM,['PLACE' 'PUT']
MINI FAN,['PICK' 'PUT']
MOMENT,['NOT']
THE MUG,['PICK UP' 'PUT ON']
THE MUSHROOM,['PLACE']
MUSHROOM,['PLACE']
NEAR SPOON,['was replaced']
NEAR TIN,['PLACE']
THE NIFE,['PICK UP' 'PUT']
ON THE VIESSEL,['PICK' 'PUT']
THE ORANGE CLOTH,['PLACE']
THE ORANGE TOWEL,['PICK UP' 'PUT' 'PUT ON' 'PICK' 'PUT NEAR' 'MOVE']
ORANGE TOWEL,['PICK UP' 'PUT ON']
THE OVEN,['PLACETHE' 'TOWARDS' 'PLACE']
OVEN,['PLACE']
Orange cloth,['Move' 'Place']
the Orange cloth,['Move']
Orange towel,['Push']
PAN,['PLACE']
THE PAN,['PLACE' 'PICK' 'PUT']
THE PANN,['PICK UP' 'PUT']
THE PIECE,['MOVED' 'REPLACED']
THE PLASTIC BOWL,['PICK UP' 'PUT INTO']
THE PLASTIC BOX,['PICK UP' 'PUT' 'PICK']
THE POLASTIC BOWL,['TAKEN' 'PUT']
THE POT,['PLACE']
THE POTATO,['PLACE']
THE PUMPKIN,['PLACE']
THE PURPLE CLOTH,['PLACE']
THE PURPLE TOWEL,['PICK UP' 'PUT' 'KEEP']
PURPLE TOWEL,['PICK UP' 'PUT']
Picture,['download' 'view']
the Pot,['Place']
the Purkoli,['take' 'keep']
THE RED VEGETABLE,['PLACE']
THE RIGHT END OF THE STOVE,['PLACE']
THE RIGHT SIDE OF THE STOVE,['PLACE']
Red Chili,['Place']
THE SAUSAGE,['PUT']
SAUSSAGE,['PLACE']
SCRAPPER,['PLACE']
THE SIDE OF THE TABLE,['PICK' 'PUT']
SPATULA,['PLACE']
THE SPATULA,['PLACE' 'MOVE']
THE SPOON,"['PICK UP' 'PUT NEAR' 'PICK' 'UP' 'PUT' 'PLACE' 'PUT ON' 'KEEP' 'MOVE'
 'PUT INTO' 'ANDPUT' 'REPLACED' 'ON']"
SPOON,['PICK' 'PUT' 'REPLACED' 'PICK UP']
THE STOVE,['PLACE']
the Spoon,['put']
Spoon,['placed']
THE TABLE,['PICK UP' 'PUT' 'PLACE' 'PACK' 'was' 'PICK' 'PUT ON' 'MOVED' 'replaced']
TH VISSEL,['PICK' 'PUT']
THE,['NOT']
THEANOTHER,['PICK' 'PUT']
THEBRUSH,['PICK' 'PUT']
THETWOEL,['PICK' 'PUT']
THEVESSEL,['PICK' 'PUT']
THING,['NOT']
TIN,['PLACE']
TIN CENTER,['PLACE']
THE TOWEL,['PICK UP' 'PUT ON' 'PICK' 'PUT' 'ANDPUT' 'UP' 'ON' 'KEEP']
TOWEL,['PICK' 'PUT']
TOWL,['REPLACED']
THE TOWL,['PUT' 'PLACE']
TWOEL,['PICK' 'PUT']
UP,['PICK' 'PUT']
THE VEISEEL,['PICK UP' 'PUT ON']
THE VERTICALLOY,['PLACE']
THE VESSAL,['PICK' 'KEEP' 'PUT']
THE VESSE,['PICK UP' 'PUT ON']
VESSEL,['PICK' 'PUT' 'MOVE' 'PICK UP' 'PLACE INTO' 'PUT NEAR']
THE VESSEL,"['PICK UP' 'PUT' 'PUT NEAR' 'PLACE' 'PUT ON' 'PICK' 'KEEP' 'MOVE' 'UP'
 'ON' 'pick up' 'put on']"
THE VESSES,['PICK UP' 'PUT ON']
THE VIEELS,['PICK' 'PUT']
VIEESSL,['PICK' 'PUT']
THE VIELELS,['PICK' 'PUT']
THE VIESSL,['PICK' 'PUT']
THE VIESSLE,['PACK' 'PUT']
THE VIOLET TOWEL,['PICK UP' 'PUT NEAR' 'PUT' 'PUT ON' 'PICK']
THE VIOLIET,['PICK UP' 'PUT NEAR']
THE VIOLIET TOWEL,['PICK UP' 'PUT INTO']
THE VISSEL,['PICK UP' 'PUT INTO' 'PUT ON' 'PUT']
THE VISSELS,['PICK UP' 'PUT ON']
VISSLES,['PICK' 'PUT']
VOILET CLOTH,['PLACE']
Video format,['show']
Video frames,['show']
WHITE TOWEL,['MOVE' 'PICK UP' 'PUT ON' 'PICK' 'KEEP']
THE WHITE TOWEL,['PICK UP' 'PUT NEAR' 'PUT' 'PICK' 'UP' 'KEEP' 'MOVE' 'PUT ON']
THE YELLOW BOX,['PICK UP' 'PUT ON']
THE YELLOW CAPSICUM,['PLACE']
THE YELLOW CLOTH,['PLACE']
YELLOW CLOTH,['PLACE']
THE YELLOW TOWEL,['PICK UP' 'PLACE' 'PUT ON' 'PUT' 'PICK' 'KEEP']
YELLOW TOWEL,['PLACE' 'PICK' 'PUT']
above the bowl,['Move']
above the strawberry,['Place']
all the items,['Move']
almonds,['pour']
and bottom,['Move']
animal,['move' 'Move']
another edge of the table,['Move']
the another side of the table,['pick up' 'put on']
anything,['moving' 'move']
appl,['pick' 'place']
apple,['put' 'Pick up' 'place' 'Place' 'Move' 'is']
the apple,['Pick up' 'place' 'Put' 'put' 'Place' 'Move' 'pick up']
the apple piece,['Take' 'place']
apple slice,['Pick up' 'place' 'hold']
arch,['move']
the area,['move' 'Move']
an avocado,['Move' 'Place']
avocado,['Move' 'Pick up' 'place' 'move']
the avocado,['Put' 'pick up' 'put' 'pick' 'Move' 'Place' 'move']
the back,['Move']
back center next to black towel,['Move']
the back edge,['Move']
the back edge of the table,['Place']
the back end,['Place']
the back left corner,['Move']
back left corner,['Move']
the back left table corner,['put' 'move']
the back left towel edge,['put']
the back object,['Place']
back of the table,['Move']
back right corner,['Move']
the back right corner of the table,['Place']
the back right table corner,['move']
the back wall,['Move']
bag,['unzip' 'zip']
the ball,['Put' 'pickup' 'place']
ball,['put' 'pick' 'move' 'place']
banan,['hold' 'place']
banana,"['Place' 'pick' 'put' 'Move' 'move' 'Put' 'Take' 'place' 'take' 'slide'
 'pick up' 'stop' 'reaching' 'Grab' 'remove' 'keep' 'hold' 'Pick' 'Remove'
 'putting']"
the banana,['Put' 'Pick up' 'place' 'Move' 'Place' 'Take' 'put']
banana plush,['Move' 'place']
the bare wood of the table,['Place' 'microwave']
basil,[nan 'topple']
basket,['put']
baster,['Place']
the baster,['Place' 'Move' 'place']
batter,['Spoon' 'smoothing']
the beef,['Move' 'Place']
beet,['put' 'take']
the beet,['put']
beetroot,['Place']
the beetroot,['place']
the bell pepper,['Pick' 'place' 'Put' 'Move']
bell pepper,['Place' 'Move' 'Pick up' 'place' 'grab' 'pick up']
bell peppers,['Pick up' 'put']
the below,['Move']
below cans,['Move' 'place']
below microwave,['Move' 'place']
the berries,['Move']
between hot dog and towel,['Move' 'place']
between pot and spoon,['Move' 'place']
the biscuit,['Put']
bit,['move']
bit holder,['pick up']
the bitter melon,['Place']
the black and white object,['Put' 'Take' 'place']
black and white object,['move' 'Move']
black and white thread,['Put' 'Move']
the black and white vegetable,['Move' 'Place']
black cloth,['Move' 'place' 'hold' 'Moves' 'Place' 'move']
the black cloth,['Move' 'move' 'put']
the black cutter,['remove']
black item,['Place']
the black item,['Put' 'Pickup' 'place']
black object,['place' 'Move' 'Place']
the black object,['Move' 'Pick up' 'place']
the black plate,['place']
the black roll,['hold' 'place']
black thread,['Put']
the black towel,['Move']
black towel,['Move']
the blackberry,['Move']
the bleu fork,['Move']
the block,['Place' 'move' 'Put']
block,['put' 'move']
blue,['move' 'Move' 'place']
the blue and brown vegetable,['Place']
the blue and red utensils,['Move']
the blue and red vegetable,['Place']
the blue block,['Put' 'Place' 'move' 'puts' 'Move' 'drop']
blue block,['put']
the blue bowl,['Move']
the blue box,['Place']
the blue brush,['Put' 'Place' 'Move' 'Pick up' 'place' 'put' 'move' 'slide' 'pick up']
blue brush,"['Move' 'pick' 'put' 'Put' 'Place' 'place' 'move' 'keep' 'moving'
 'pick up' 'Pick up']"
the blue cloth,"['Move' 'place' 'bring' 'move' 'slide' 'Put' 'Place' 'sits' 'put'
 'Pick up' 'push' 'laying' 'Moved' 'Slide' 'Set' 'Take' 'Moving' 'press'
 'make' 'Grab' 'Hold' 'close' 'Pick' 'hold']"
blue cloth,"['Put' 'Place' 'slide' 'Move' 'pick up' 'put' 'pick' 'place' 'hold' 'move'
 'drop' 'Pick up' 'moved' 'Remove' 'is' 'sits' 'keep' 'touches' 'pointing'
 'Pick' 'nearer' 'Adjust' 'is parallel']"
blue clothe,['move']
blue color cloth,['Move']
the blue color spatula,['Place']
blue colored spoon,['Move']
blue colour cloth,['Move']
the blue colour spatula,['Put']
the blue cube,['Place']
blue cube,['Move' 'Place' 'move']
the blue cup,['Place']
blue dice toy,['put']
the blue fabric in the table,['Take' 'place']
blue fork,"['Move' 'move' 'Place' 'moved' 'Put' 'Pick up' 'place' 'pick up' 'keep'
 'can' 'move back']"
the blue fork,"['Move' 'Pick up' 'place' 'pick up' 'put' 'move' 'Take' 'close' 'Put'
 'Place' 'Change' 'pointed' 'touch' 'placed' 'Bring' 'Slide' 'slide'
 'take' 'parallel']"
the blue fort,['Put']
blue fruit,['Place']
the blue fruit,['Place' 'Move']
the blue grapes,['Place' 'hold' 'place']
the blue grater,['move']
blue handle,['Move']
the blue handle,['slide' 'Move']
the blue handled fork,['Place']
the blue handled object,['move']
the blue handled spoon,['Put' 'slide' 'Place' 'Move']
blue handled spoon,['Put']
the blue handled utensil,['Place']
the blue ice scream scoop,['Move']
the blue item,['Put']
blue item,['move']
blue measuring spoon,['Move' 'Place']
the blue measuring spoon,['Place' 'Move']
blue napkin,['Move' 'Place' 'takes' 'Put' 'moved' 'slide']
the blue napkin,['slide' 'Move' 'Place']
the blue object,['Place' 'Put' 'move' 'Move']
