direct_object,unique_verbs
7up,['move' 'pick' 'place' 'can' 'knock']
7up can,['pick' 'place' 'move' 'near' 'can']
apple,['move' 'pick' 'place' 'can' 'near']
bag,['move' 'place' 'can' 'pick' 'near']
banana,['pick']
blue,['place' 'move' 'pick' 'knock']
blue chip,['move']
blue chip bag,['place' 'pick' 'move' 'near' 'can']
blue plastic bottle,['pick' 'place' 'move' 'near' 'can']
blue water bottle,['pick']
blueberry,['place' 'move' 'can' 'pick' 'near']
bottle,['pick' 'move' 'knock']
bottom drawer,['place' 'open' 'close']
bottom shelf,['pick']
bottom shelf of fridge,['pick']
bowl,['move' 'can' 'place' 'near']
brown,['move']
brown chip bag,['move' 'near' 'pick' 'place']
can,['pick' 'move' 'place']
chip,['move' 'place' 'can' 'pick' 'near']
chocolate,['move' 'can' 'near' 'pick' 'place']
coke,['place' 'move' 'knock' 'pick' 'can']
coke can,['pick' 'place' 'move']
counter,['pick' 'place']
door,['open' 'close']
drawer,['close' 'open' 'place']
fridge,['pick' 'open' 'close']
fridge door,['close']
green,['move' 'can' 'place']
green can,['place' 'move' 'pick' 'near']
green jalapeno chip bag,['move' 'near' 'pick' 'place']
green rice chip bag,['pick' 'place' 'move' 'near']
jalapeno,['move' 'can']
left fridge door,['open']
middle drawer,['place']
middle shelf,['pick']
middle shelf of fridge,['pick']
near,['move' 'can']
on counter,['pick' 'place']
orange,['place' 'move' 'can' 'pick' 'knock' 'near']
orange can,['pick' 'place' 'move' 'near']
over,['knock' 'can']
paper,['move' 'can' 'near']
paper bowl,['place' 'move' 'near' 'pick']
pepsi,['pick' 'move' 'can' 'knock' 'place' 'near']
pepsi can,['move' 'near' 'pick' 'place']
plastic,['knock']
plastic bottle,['move' 'pick']
redbull,['move' 'can' 'pick' 'place' 'knock' 'near']
redbull can,['pick' 'place' 'move']
rice,['move' 'pick']
rice chip bag,['move']
right,['close']
rxbar,['move' 'place' 'can' 'near' 'pick']
rxbar blueberry,['pick' 'place']
rxbar chocolate,['pick' 'place']
shelf,['pick']
sponge,['move' 'pick' 'place' 'can']
top,['close' 'place' 'open']
top drawer,['place']
top shelf,['pick']
top shelf of fridge,['pick']
upright,['place' 'can']
water,['move']
water bottle,['place' 'move' 'pick' 'knock over' 'can']
white,['move']
white bowl,['move' 'place' 'near' 'pick' 'can']
