direct_object,unique_verbs
block,['turn' 'sweep' 'remove' 'slide' 'rotate' 'unstack' 'place' 'push']
the block,['put']
the blue button,['push' 'turn off' 'turn on']
blue led light,['turn on']
the blue led light,['turn off']
blue light,['turn off']
the blue light,['push' 'turn off' 'switch' 'toggle' 'turn on' 'move']
the blue light lamp,['turn on']
the blue light switch,['move' 'turn off' 'toggle' 'turn on']
the box,['move' 'place' 'go' 'put' 'store']
cabinet,['close' 'place' 'open']
door,['move' 'slide']
the door,['grasp' 'slide' 'move' 'push' 'let' 'let go']
the door handle,['grasp' 'slide' 'move']
drawer,['pull' 'close' 'go' 'place' 'open' 'move' 'store' 'push']
the drawer,['place' 'open' 'go' 'close' 'move' 'store' 'put' 'push']
the drawer handle,['grasp' 'open' 'close']
drawer handle,['grasp' 'close']
go,['push']
the grasped pink block,['place' 'put']
the grasped pink object,['store']
grasped purple block,['put']
the grasped purple object,['store']
grasped purple object,['place' 'put']
the grasped yellow block,['put']
the grasped yellow object,['put' 'store']
green button,['push down' 'turn on']
the green button,['push' 'turn off' 'turn on']
the green led light,['turn on' 'turn off']
the green light,['push' 'turn off' 'move' 'switch' 'toggle' 'turn on' 'turn']
green light,['push down' 'turn on']
the green light lamp,['turn on' 'turn off']
the green light switch,['move' 'turn off' 'toggle' 'turn on']
the handle,['grasp' 'open' 'close' 'push' 'pull']
inside the right cabinet,['place']
it,"['take' 'turn' 'grasp' 'open' 'go' 'pick' 'lift' 'rotate' 'close' 'slide'
 'let']"
left,['slide']
the left cabinet,['put' 'place']
object,['put' 'place']
the other one,['take off']
pink,['remove' 'slide']
the pink block,"['put' 'grasp' 'turn' 'go' 'pick' 'lift' 'slide' 'rotate' 'take' 'push'
 'store' 'sweep' 'place' 'stack' 'pick up']"
pink block,['stack' 'take off' 'slide' 'place' 'grasp' 'turn' 'go' 'put']
the pink object,['move' 'store' 'place' 'put' 'go']
pink object,['place' 'move' 'store' 'go']
purple,['slide']
the purple block,"['place' 'grasp' 'put' 'go' 'pick' 'unstack' 'rotate' 'push' 'slide'
 'take' 'store' 'stack' 'pick up' 'lift' 'sweep' 'turn']"
purple block,"['push' 'stack' 'place' 'grasp' 'rotate' 'lift' 'slide' 'store' 'take off'
 'put' 'turn']"
purple object,['go' 'place' 'move' 'store' 'put']
the purple object,['move' 'place' 'store' 'put' 'go']
red,['slide']
the red button,['push' 'turn off' 'turn on']
red led light,['turn off']
the red led light,['turn on']
the red light,['push' 'turn off' 'turn on' 'move' 'turn' 'toggle' 'switch']
the red light lamp,['turn on' 'turn off']
the red light switch,['move' 'turn on' 'toggle' 'turn off']
right,['slide']
right cabinet,['put']
the right cabinet,['put' 'place']
slide,['go' 'slide']
the sliding door,['push' 'move']
stacked blocks,['collapse']
top,['remove']
the top purple block,['remove']
the tower of blocks,['go' 'take off' 'take']
the white box,['move' 'store' 'go']
white box,['go' 'store' 'move']
yellow,['slide']
the yellow block,"['put' 'take' 'turn' 'push' 'store' 'slide' 'place' 'go' 'take off'
 'grasp' 'lift' 'pick up' 'rotate' 'pick' 'sweep' 'stack']"
yellow block,['stack' 'go' 'push' 'place' 'grasp' 'turn' 'unstack' 'put']
the yellow object,['put' 'move' 'store' 'place' 'go']
yellow object,['put' 'move' 'place' 'go' 'store']
