direct_object,unique_verbs
20 degrees,['turn']
<a,['okay']
<unintelligible,['okay']
CMD,['not']
Chinese writing,['think' 'was']
English,['were' 'speakers']
I,['say' 'am']
Missing or implied direct object,['go']
Robby the Robot,['rock' 'roll']
the TV,['move' 'stop' 'go']
a,['okay great' 'send' 'make' 'go' 'left' 'take' 'like']
about,['face' 'turn' 'go']
about face,['make']
about fifteen degrees to your right,['move' 'turn']
about five feet,['go' 'okay']
about five more feet,['go']
about forty five degrees,['turn' 'move']
about four meters,['go']
about four more feet,['go']
about ninety degrees south,['turn']
about six feet,['go']
about ten feet,['back up']
about thirty degrees,['move']
an about turn,['make']
about two feet,['go']
activities,"['saw' 'coordinate' 'do' 'think' 'use' 'conduct' 'was' 'could' 'indicate'
 'there were' 'be']"
ahead,['go' 'travel' 'face' 'get' nan 'walk' 'move' 'can' 'head' 'feed']
all,['set']
all of em,['counted' 'got']
all of them,['see']
all orange cones,['take']
all the ob objects,['take']
all the way around,['turn']
all the way to the west,['move']
the alley,['go' 'enter']
along,['go' 'see' 'can']
along the entire wall,['move']
angle,['turn' 'make' 'please']
another,['move' 'turn' 'rotate' 'take']
another 10 degrees,['turn']
another 10 feet,['move']
another area,['wet' 'would be' 'there were' 'had']
another door,['be' 'move' 'find' 'go through']
another doorway,"['see' 'walk' 'reach' 'move' 'think' 'went' 'keep' ""there's"" 'add' 'tally'
 'find' 'is' 'continue' 'hit']"
another doorway nearby,['do' 'see']
another eight feet,['go']
another fifteen degrees,['turn' 'move' 'rotate']
another five degree to your left,['do']
another five degree turn,['do' 'turn']
another five feet,['move']
another five feet forward,['continue' 'moving']
another foot,['move']
another foreign language,['do' 'think' 'were']
another forty,['turn']
another forty degrees,['turn']
another forty five degree angle,['move']
another forty five degrees,['turn' 'move' 'okay' 'rotate']
another forty five degrees to the right,['move' 'turn']
another language,['is' 'is in']
another ninety degrees,['turn']
another object,['be' 'move' 'reach' 'is' 'pass']
another one meter,['go']
another ph,['take']
another photo,['take' 'send']
another picture,['take' 'send']
another seven feet,['go']
another six feet,['move']
another ten degrees,['move' 'turn']
another ten feet,['go' 'proceed' 'move' 'continue' 'moving' 'tell']
another ten feet forward,['move']
another thh forty degrees,['turn']
another thirty degrees,['turn']
another thirty five degrees,['can' 'turn']
another three feet,['move' 'go']
another three feet forward,['move']
another three steps,['go']
another twenty degrees,['turn']
another twenty degrees to your right,['move']
another twenty five degrees,['move']
another two feet,['move']
the answers,['review']
any,['indicates' 'has been' 'see' 'did']
any available objects,['see']
any cones,['do' 'see' 'did' 'pass']
any containers,['find']
any doors,['see']
any food,['see']
any further,['go']
any more,['cannot' 'move']
any more cones,['see']
any more doorways,['find' 'pass']
any objects,['know' 'run into' 'see' 'is']
any of those,['like' 'identify']
any other doorways,['explored' 'find' 'be']
any other languages,['speak']
any sh doors,['do' 'see']
any shovels,['see']
any square containers,['do' 'see']
any threats,['detect']
any type of container,['think' 'move' 'do']
any uh indication,['was']
any water sources,['detect']
anything,"['indicates' 'has been occupied' 'do' 'think' ""there's"" 'has' 'saw'
 'coordinate' ""couldn't"" 'see' 'use' 'was' 'seen' 'looks' 'be' 'occupied'
 'could' 'recognize' 'conduct' 'is' 'mean' 'understand' 'did' 'indicate'
 'there were' 'run' 'tell' 'looks like' 'find' 'go'
 'has been recently occupied' 'explore']"
anything else,['see']
anything new,['seeing']
apologies,['apologize']
ar,['move']
arabic,"['think' 'were' 'was' 'know' nan 'cause' 'looks' 'had' 'do' 'read' ""i'm""
 'guessing']"
an arabic newspaper,['saw' 'thought']
arabic numbers,['are']
arabic numerals,['have' 'were']
arabic speakers,['were']
an arabic translation,['had']
the area,['explore' 'scan']
area,['take' 'assess' nan]
around,"['turn' 'spin' 'leave' 'move' 'face' 'came' 'look' 'try' 'take' 'wanna'
 'go']"
around a hundred eighty degrees,['turn']
around one hundred and eighty degrees,['turn']
around the table,['travel']
arrow,['move']
arrows,['coordinate' 'use' 'mounted']
artwork on wall,[nan]
as far as you can,['travel' 'move' 'go']
as far as you can ahead,['move']
as far as you can ahead and,['move']
as far as you can directly straight,['go']
as far as you can go,['go']
as far as you could go,['go']
as far forward as you can,['move']
as far up as you can,['go']
as far west,['go']
as much as possible,['back up']
at,"['move' 'are' ""couldn't tell"" 'was looking at' 'see' 'looking']"
at least ten degrees,['turn']
at the sign on the wall,['move' 'stop']
audio,['sync' 'in' 'two' 'one']
back,['turn' 'were' 'turn back' 'face' 'go' 'move' 'walk' 'came']
back and forth,['move' 'go']
back around,['turn']
back around forty five degrees,['turn']
back down the hallway,['turn' 'proceed']
back north,['turn']
back out into the hallway,['go']
back out of the door,['go']
back to the end of the alley with the cone,['drive']
back to your last position,['rotate']
backward,['go']
backwards,['move' 'go']
bag,['go' 'was' nan]
the bag,['move' 'leaning']
a barrel,['saw' 'was']
barrel,['use' 'move' 'saw' 'took' 'think' 'was' nan]
the barrel,['move' 'drive']
barrels,['saw' nan 'found' 'see']
the barrels,['could' 'use']
a barrier,['come' 'go']
be,['could' 'be' 'not']
before,['are']
the beginning of the alleyway,['return']
the beginning of the hallway,['continue']
the beginning of the room,['reverse']
behind,['make' 'hide']
a better photo,['take']
a better picture,['take' 'get']
a bit,['move']
a bit of an entrance,"['seems' ""there's""]"
bite size shredded wheat,['was' 'looks']
the black box on your right,['move']
black chair,['was' 'looks']
a black dress shoe,['was']
the black object,['move']
blue,['take']
blue paper,['move']
a blue sign,['were']
blue sign,['take']
blue thing,['zoom in']
a board a fire extinguisher,['looked']
boards,[nan]
a bomb or something,['could' 'was' 'is']
a book,['reads']
books,[nan]
both english and a foreign language,['was' 'guess']
both languages,['were']
a bottle,['found']
bottle of l liquid,['was' 'looked']
a bottle of water,['saw' 'think' 'see' 'found']
bottles,[nan]
a box,"['is' 'looks' 'saw' 'um' 'see' 'were' 'was' 'found' 'can be used' 'move'
 ""there's""]"
box,"['move' ""there's"" 'see' 'have' 'consider' 'are' 'found' 'okay' nan
 'looked']"
the box,"['pass' 'back up' 'walk' 'is' 'found' 'can be used' 'move' 'turn' 'see'
 'stop' 'go']"
box of cereal,"[""couldn't tell"" 'did have' 'was' 'looked like' 'was able to observe']"
a box of cereal,['seems' 'saw' 'okay' 'to place' 'to have']
a box of wheat uh sh shredded wheat,['speak']
boxes,['take' 'look' 'see']
a break,['need' 'keep' 'wanna' 'take']
the breakfast table,['had' 'was']
brick,['was']
the brick wall,['turn']
brick wall,['look' 'move' 'seemed' 'could' 'use' 'was']
bricks,['uh']
a broom,['saw']
broom,[nan]
brooms,"['coordinate' 'use' 'mounted' 'there was' 'there were' ""there's""]"
brown,['move']
brown object,['move' 'was' 'blocked']
the brown object,['move']
bucket,"['go' 'paint' 'coordinate' 'use' 'mounted' 'believe' 'saw' 'stand' 'were'
 'like' 'move' 'face']"
the bucket,['move' 'stop' 'go']
a bucket,['speak']
a bucket with english written on it,['saw' 'figured']
building,['go' 'check']
the building,['set' 'move' 'go']
a bunch of chairs,['was']
button,['talk' 'hold' 'clicked' 'opened' 'given' 'press']
the button,['push' 'review' 'hold' 'press' 'let go' 'can' 'let' 'go']
buttons,['holding']
the calendar,['looked' 'were' 'turn' 'zoom']
a calendar,"['crossed off' ""didn't know"" 'was' 'saw']"
calendar,"['saw' 'get close' 'move' 'have' 'center' 'was' 'seemed' 'go' 'reach'
 'were' 'indicate' 'had' 'rotate']"
calendar with marked off days,['think' 'was']
a calendar with the dates crossed off,['think' 'see' 'found']
camera,['rotate']
can of coke,['were' 'like']
cans,['was']
a cardboard box,"['had' ""there's""]"
cardboard box,['move' 'is' 'was' 'looks' 'saw' nan]
cargo,[nan 'like']
cement,['uh']
the center,['go' 'move' 'are' 'face']
center,['move']
center of opening on the north,['move']
the center of that room,['go']
the center of the alley,['move']
the center of the doorway,['go']
the center of the room,['go' 'move']
center wall,['face']
cereal,['was' 'seemed' 'saw' 'suggest' 'eat' 'eating']
the cereal box,['take']
chair,['found' 'stop' 'move' 'is' 'was' 'like' nan 'looked']
the chair,['move' 'go']
a chair,['found']
the chairs,['move' 'return']
